exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B306-20190304_120415_proc_herm	B306	CA310L0_NGM_B306_herm	CA310L0_herm	20190304	120415	1207.635	208.551799345692	5712	986.430401456231	2.99406644860513	22.7	38	Paris2	NGM	-0.960922920118245	-2.15408445192024	-1.42074827383116	-3.73935699876031	-0.489970972919032	-1.53304043233768	-0.967758675992421	0.65063382581616	-2.62543577531954	CA310	pops
B306-20190304_122501_proc_herm	B306	CA336L0_NGM_B306_herm	CA336L0_herm	20190304	122501	1197.073	251.591776798825	5021	1055.27591993713	3.0233660282014	22.8	38	Paris2	NGM	-1.16884284531525	-2.49909914449572	-1.25695600213637	-3.97328273912393	-0.349522008947941	-1.65210796872217	-0.627526039345065	0.427966505496321	-3.01977847864389	CA336	pops
B306-20190304_124534_proc_herm	B306	A6100L0_NGM_B306_herm	A6100L0_herm	20190304	124534	1197.613	303.459107806691	2738	693.772560229992	2.84121711883213	22.8	39	Paris2	NGM	-0.810259516847206	-2.05958928124089	-1.01803641657612	-4.50408461603042	-0.0625230044949396	-2.32758739536725	-0.777944722875982	0.558483523876386	-2.96279189559909	A6100	pops
B306-20190304_130558_proc_herm	B306	A210L0_NGM_B306_herm	A210L0_herm	20190304	130558	1197.693	314.410579345088	2750	721.912120383932	2.85848433336573	22.9	39	Paris2	NGM	-0.908255729613849	-1.9365625136242	-0.924299478274054	-4.82785358919387	-0.0497432175348139	-3.01212281071788	-0.563048308254418	0.293355748065711	-2.67706914944954	A210	pops
B306-20190304_132626_proc_herm	B306	CA136L0_NGM_B306_herm	CA136L0_herm	20190304	132626	1197.811	254.5171875	3551	754.535175259286	2.87767949071853	22.9	39	Paris2	NGM	-0.823326207625303	-2.14350752752441	-0.996034989496594	-4.62798556151246	-0.137685358430259	-2.36891995281382	-0.719902440336993	0.489186006208479	-2.8895839127355	CA136	pops
B306-20190304_134659_proc_herm	B306	CA268L0_NGM_B306_herm	CA268L0_herm	20190304	134659	1197.766	215.021516393443	6291	1129.35277811455	3.05282962452621	23	39	Paris2	NGM	-0.814744373614365	-2.23142732379226	-1.55765211712963	-4.20489914653876	-0.629677460699841	-1.56242490089434	-1.0897084446785	0.818812283401945	-2.85657086261751	CA268	pops
B306-20190304_140736_proc_herm	B306	A510L0_NGM_B306_herm	A510L0_herm	20190304	140736	1197.104	257.80880773362	5015	1080.03245397568	3.03343680583027	23.1	39	Paris2	NGM	-0.96178983700818	-2.22167764961358	-1.54143366182885	-4.43494900851324	-0.470219392776684	-1.78561568945713	-1.02461372280178	0.781506454489867	-2.94727156793015	A510	pops
B306-20190304_142814_proc_herm	B306	A610L0_NGM_B306_herm	A610L0_herm	20190304	142814	1297.655	244.219730941704	3264	614.287466078212	2.78837165406512	23.4	39	Paris2	NGM	-0.748828756633933	-2.0342377459637	-1.27823981307618	-4.35367548132187	0.0297831271933948	-1.70567178588005	-1.12047616378607	0.951642288142667	-3.38929527976467	A610	pops
B306-20190304_145046_proc_herm	B306	OF5L0_NGM_B306_herm	OF5L0_herm	20190304	145046	1196.556	309.429640718563	2624	678.566968236764	2.83159271492941	23.6	39	Paris2	NGM	-0.732444965544502	-1.89678293045392	-1.36535766253092	-4.63782093983169	-0.140290498115726	-2.07166536659085	-1.23952127602965	0.986555932985037	-3.00782631095584	OF5	pops
B306-20190304_153153_proc_herm	B306	CA566L0_NGM_B306_herm	CA566L0_herm	20190304	153153	1296.786	255.101234567901	3953	777.626516824606	2.89077106147873	23.8	38	Paris2	NGM	-0.640743742022381	-2.04267160147961	-1.38707867981102	-4.24815117417256	-0.20015913134472	-1.70860000495191	-1.23798343218903	0.98253126550502	-2.99609455092372	CA566	pops
B307-20190308_082024_proc_herm	B307	CA236L0_NGM_B307_herm	CA236L0_herm	20190308	82024	1198.25	306.524416135881	5585	1428.69923982382	3.15494081365284	21.1	38	Paris2	NGM	-1.56227892148344	-2.5185044127355	-1.45083080765375	-3.75593121234586	-0.664016350633309	-1.76414239540755	-0.640645293876865	0.306895051472676	-2.45914833909553	CA236	pops
B307-20190308_084102_proc_herm	B307	A330L0_NGM_B307_herm	A330L0_herm	20190308	84102	1197.348	299.914119359534	4527	1133.93200501493	3.05458701334687	21.2	38	Paris2	NGM	-1.44121007885214	-2.48434844085005	-1.31909681445302	-4.25552231941417	-0.270693844594276	-2.24171297926708	-0.494555168417998	0.250385058779081	-2.77107030645401	A330	pops
